frame,Latitude,Longitude,Heading,Pitch,Roll
12800,57.7113000608,12.9198385496,15.728496469,-0.3135723105,-4.61977771
12801,57.7113113908,12.9198444993,15.6831860467,-0.335456995,-4.6407439627
12802,57.7113226939,12.9198504322,15.6371231631,-0.3315125594,-4.6055579356
12803,57.7113396244,12.9198592616,15.5870854775,-0.347663698,-4.6069906319
12804,57.7113508918,12.9198651305,15.5346220029,-0.3540053377,-4.6100195969
12805,57.7113677754,12.919873892,15.454683388,-0.3810136517,-4.6077985153
12806,57.7113790217,12.9198797007,15.3995543022,-0.4065627317,-4.5985684475
12807,57.7113902564,12.9198854986,15.3424633028,-0.4117389307,-4.60471856
12808,57.7114070995,12.9198941351,15.2509203126,-0.4259600152,-4.6063223049
12809,57.711418326,12.919899855,15.2033792209,-0.453059295,-4.597506375
12810,57.71143515,12.9199084111,15.122935326,-0.4508971054,-4.5809978729
12811,57.711446371,12.9199140671,15.0864714895,-0.4788552069,-4.5904748292
12812,57.7114575851,12.9199197185,15.0375367129,-0.4850415237,-4.5646095042
12813,57.7114744351,12.9199281748,14.9507277983,-0.511111593,-4.5680009423
12814,57.7114856895,12.9199338118,14.8879451058,-0.5391554023,-4.5294244271
12815,57.7115026141,12.9199422124,14.801539578,-0.5529386498,-4.5376882276
12816,57.7115139264,12.9199477952,14.7521595117,-0.5530076536,-4.5465812074
12817,57.7115252626,12.9199533851,14.6975854631,-0.5503235043,-4.5534799435
12818,57.711542311,12.9199617244,14.6376110269,-0.5481800518,-4.5751540962
12819,57.7115537044,12.9199672817,14.5903052339,-0.546006717,-4.5696886491
12820,57.7115651185,12.9199728266,14.5408123919,-0.5287157106,-4.5762120591
12821,57.7115822766,12.9199811415,14.4424260198,-0.5173822063,-4.5725696122
12822,57.711593743,12.9199866554,14.4093424795,-0.5249980225,-4.5572223333
12823,57.7116109702,12.9199949153,14.3208042145,-0.5440037315,-4.5768940823
12824,57.7116224583,12.9200004052,14.2883082438,-0.5368898774,-4.5602715429
12825,57.7116339448,12.9200058622,14.2204059405,-0.541026585,-4.5680900486
12826,57.7116511513,12.9200140383,14.1533237642,-0.5323046757,-4.5348798766
12827,57.7116626136,12.9200194301,14.096901466,-0.5473002889,-4.562877305
12828,57.7116740448,12.920024781,14.0489767028,-0.5506754665,-4.5809007045
12829,57.7116911215,12.9200327827,13.9518815855,-0.5298123731,-4.546000533
12830,57.7117024707,12.9200380493,13.9014187862,-0.5305028925,-4.563220115
12831,57.7117137827,12.9200432668,13.8673152903,-0.5403223817,-4.5718191346
12832,57.711730674,12.9200510564,13.7790104489,-0.5793348154,-4.5589335026
12833,57.7117418844,12.9200561859,13.7355573297,-0.5781962666,-4.5699862404
12834,57.7117586105,12.9200638251,13.6605021978,-0.5425467027,-4.5567520411
12835,57.7117697099,12.9200688673,13.6091892314,-0.5029197782,-4.5473843578
12836,57.7117862985,12.9200763482,13.5404480117,-0.5137597957,-4.5819148398
12837,57.7117973018,12.9200813185,13.4805798771,-0.5336788143,-4.5698084731
12838,57.7118137246,12.9200886679,13.4175888219,-0.5301527177,-4.555891908
12839,57.7118246257,12.920093532,13.3629970482,-0.538110661,-4.5536456177
12840,57.7118408971,12.920100739,13.3032835916,-0.5012979637,-4.5502990286
12841,57.7118517029,12.9201055045,13.2537372249,-0.5031615685,-4.5348241846
